[0214/140700.281:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0220/225323.375:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0220/225323.525:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0220/225328.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0220/225328.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0220/225333.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0220/225333.541:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/101146.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/101152.131:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/101157.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/101202.155:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0221/225529.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
